pop	pop#	ntox	tox	toxse	normtox	normtoxse	viewer	background	noise	vord	dl	ds	euc	qt	qtse	normqt	dluvminus	dsuvminus	eucuvminus
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	leaf	sp	d	0.684070573	0.868113339	0.688162734	5510.408896	181.5395415	0.638964376	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	bark	fix	v	0.69083254	0.764457969	0.694573223	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	bark	sp	v	0.69083254	0.764457969	0.694573223	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	heli	fix	v	0.620563054	0.767454168	0.627759609	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	heli	sp	v	0.620563054	0.767454168	0.627759609	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	leaf	fix	v	0.647730076	0.766363633	0.653387203	7160.799889	327.4570556	0.422548541	NA	NA	NA
AL	6	4	0.861168439	0.10899496	0.500876695	0.063394143	snake	leaf	sp	v	0.647730076	0.766363633	0.653387203	7160.799889	327.4570556	0.422548541	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	bark	sp	d	0.896696763	0.031321544	0.829139413	8623.968876	376.5688989	1	0.896696763	0.029681877	0.828826149
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	heli	sp	d	0.84556152	0.165230648	0.692376826	8623.968876	376.5688989	1	0.84556152	0.15390041	0.690948254
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	leaf	sp	d	0.840942975	0.255923474	0.748545198	8623.968876	376.5688989	1	0.840942975	0.250521861	0.747567773
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	bark	fix	d	0.896696763	0.031321544	0.829139413	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	heli	fix	d	0.84556152	0.165230648	0.692376826	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	leaf	fix	d	0.840942975	0.255923474	0.748545198	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	bark	fix	v	0.958659354	0.268510253	0.959723544	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	bark	sp	v	0.958659354	0.268510253	0.959723544	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	heli	fix	v	0.945122658	0.120017865	0.945713582	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	heli	sp	v	0.945122658	0.120017865	0.945713582	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	leaf	fix	v	0.944047933	0.381397554	0.947243676	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	bird	leaf	sp	v	0.944047933	0.381397554	0.947243676	16033.46651	746.8997085	0.946111886	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	bark	fix	d	1	0.019816101	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	bark	sp	d	1	0.019816101	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	heli	fix	d	1	0.680602946	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	heli	sp	d	1	0.680602946	1	8623.968876	376.5688989	1	NA	NA	NA
BCG	2	5	1.521955424	0.071983896	0.885206619	0.0418676	crab	leaf	fix	d	1	0.514024923	1	8623.968876	376.5688989	1	NA	NA	NA
